area_fips,year,annual_avg_emplvl,avg_annual_pay
18157,1990,62272,21529
18159,1990,4127,17407
18161,1990,1218,13654
18163,1990,93360,20594
18165,1990,5020,24740
18167,1990,48684,19421
18169,1990,14256,18694
18171,1990,1727,17841
18173,1990,12744,27359
18175,1990,5998,15988
18177,1990,31586,19345
18179,1990,9165,18514
18181,1990,8670,17752
18183,1990,10419,19865
19001,1990,2292,15744
19003,1990,1503,14581
19005,1990,4583,14008
19007,1990,4105,15946
19009,1990,1805,13791
19011,1990,5193,13958
19013,1990,58631,21528
19015,1990,7634,16679
19017,1990,7787,17350
19019,1990,4885,16989
19021,1990,8158,15973
19023,1990,2949,14171
19025,1990,3043,14638
19027,1990,8847,15355
19029,1990,5805,15579
19031,1990,4750,14069
19033,1990,22977,17655
19035,1990,5088,17203
19037,1990,4351,16213
19039,1990,3185,15871
19041,1990,7612,16930
19043,1990,5452,15195
19045,1990,19761,18141
19047,1990,6018,15785
19049,1990,7797,16688
19051,1990,1853,15012
19053,1990,2258,13756
19055,1990,4687,17316
19057,1990,20924,20699
19059,1990,6435,15482
19061,1990,43497,19951
19063,1990,3976,15563
19065,1990,6400,15285
19067,1990,5840,16024
19069,1990,3346,15754
19071,1990,2552,16211
19073,1990,2768,15188
19075,1990,3244,15051
19077,1990,2487,14106
19079,1990,6840,16492
19081,1990,3675,15601
19083,1990,7294,16007
19085,1990,3280,13979
19087,1990,9376,17348
19089,1990,2964,14206
19091,1990,3229,15822
19093,1990,3101,16172
19095,1990,7912,17418
19097,1990,5614,14063
19099,1990,12381,20724
19101,1990,6942,17900
19103,1990,47994,21253
19105,1990,5296,15755
19107,1990,2558,13954
19109,1990,5841,15241
19111,1990,16913,19669
19113,1990,92584,22624
19115,1990,3511,16381
19117,1990,3038,19470
19119,1990,3014,14005
19121,1990,2729,14453
19123,1990,6635,15783
19125,1990,12755,19874
19127,1990,17529,20185
19129,1990,3624,16506
19131,1990,3039,15035
19133,1990,2762,13723
19135,1990,2498,16685
19137,1990,4981,16299
19139,1990,19588,22014
19141,1990,5368,14442
19143,1990,1930,15119
19145,1990,6127,15832
19147,1990,2901,13823
19149,1990,7268,16909
19151,1990,2962,15624
19153,1990,214853,22285
19155,1990,28196,16880
19157,1990,8465,18349
19159,1990,1255,13143
19161,1990,3074,13439
19163,1990,70619,21066
19165,1990,4206,13955
19167,1990,11804,14802
19169,1990,33209,19056
19171,1990,4845,15443
19173,1990,1465,12759
19175,1990,5252,15922
19177,1990,1673,13978
19179,1990,13960,19740
19181,1990,6718,15293
19183,1990,5916,15272
19185,1990,1863,14251
19187,1990,17373,17685
19189,1990,6517,17310
19191,1990,8084,16063
19193,1990,46278,18487
19195,1990,1861,19613
19197,1990,5564,16251
20001,1990,5370,15835
20003,1990,1794,13661
20005,1990,5976,17128
20007,1990,2105,15326
20009,1990,12910,17320
20011,1990,5747,16128
20013,1990,4024,14653
20015,1990,11656,16022
20017,1990,779,11842
20019,1990,976,13823
20021,1990,5732,16821
20023,1990,879,13122
20025,1990,658,14380
20027,1990,2639,13472
20029,1990,3976,15177
20031,1990,3484,23630
20033,1990,731,11710
20035,1990,13856,18020
20037,1990,13641,16561
20039,1990,1299,13399
20041,1990,5970,14650
20043,1990,2379,17327
20045,1990,32603,18148
20047,1990,1146,14770
20049,1990,645,12379
20051,1990,10991,16514
20053,1990,2304,15370
20055,1990,16465,17505
20057,1990,13313,17133
20059,1990,6698,15648
20061,1990,11212,16249
20063,1990,1029,13303
20065,1990,1196,14745
20067,1990,2976,19921
20069,1990,1611,18593
20071,1990,625,14052
20073,1990,2056,13149
20075,1990,815,14647
20077,1990,2319,15127
20079,1990,11336,17742
20081,1990,1129,18963
20083,1990,484,14773
20085,1990,2417,13996
20087,1990,2650,15084
20089,1990,910,12894
20091,1990,187920,23284
20093,1990,1097,17690
20095,1990,2168,15308
20097,1990,1167,14989
20099,1990,9892,17109
20101,1990,799,16539
20103,1990,17690,19444
20105,1990,991,12406
20107,1990,2052,21373
20109,1990,1062,13449
20111,1990,14800,17949
20113,1990,11381,18668
20115,1990,3440,13966
20117,1990,3618,15304
20119,1990,1363,14814
20121,1990,5992,16402
20123,1990,2889,14653
20125,1990,16003,17796
20127,1990,1471,13612
20129,1990,1213,18577
20131,1990,3884,15041
20133,1990,7076,15833
20135,1990,1333,15687
20137,1990,2121,15738
20139,1990,2971,13748
20141,1990,1527,13151
20143,1990,1190,13680
20145,1990,2916,16823
20147,1990,2262,16675
20149,1990,5767,16265
20151,1990,3846,16226
20153,1990,994,12730
20155,1990,26016,19083
20157,1990,2197,13362
20159,1990,3126,16755
20161,1990,19962,16600
20163,1990,1781,15378
20165,1990,1090,16493
20167,1990,3051,15556
20169,1990,25156,18410
20171,1990,1905,16702
20173,1990,215419,23427
20175,1990,9654,18191
20177,1990,88511,21088
20179,1990,808,14090
20181,1990,2438,14148
20183,1990,1433,12387
20185,1990,1388,14707
20187,1990,747,17063
20189,1990,1860,21154
20191,1990,5760,15986
20193,1990,3489,14364
20195,1990,1046,12800
20197,1990,1083,12885
20199,1990,476,12913
20201,1990,2056,11571
20203,1990,811,15709
20205,1990,3087,16575
20207,1990,819,13644
20209,1990,77284,23939
21001,1990,3507,14675
21003,1990,3446,16295
21005,1990,2899,18679
21007,1990,2303,24831
21009,1990,13647,18310
21011,1990,1425,13928
21013,1990,9446,17727
21015,1990,38360,20398
21017,1990,5385,16566
21019,1990,26976,23636
21021,1990,12120,18624
21023,1990,1183,17146
21025,1990,3750,20438
21027,1990,2423,13754
21029,1990,7138,16380
21031,1990,3680,14130
